,skeleton_file,skeleton_frames,exo_file_1,exo_frames_1,exo_file_2,exo_frames_2,ego_file_2,ego_frames_2,ego_file_3,ego_frames_3
0,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_1/new_processed_skeletons.csv,2297,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_1/processed_exo_zed_1.mp4,2295,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_1/processed_exo_zed_2.mp4,2295,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_1/processed_ego_agent_2.mp4,2296,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_1/processed_ego_agent_3.mp4,2296
1,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_2/new_processed_skeletons.csv,2511,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_2/processed_exo_zed_1.mp4,2509,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_2/processed_exo_zed_2.mp4,2509,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_2/processed_ego_agent_2.mp4,2510,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_2/processed_ego_agent_3.mp4,2510
2,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_3/new_processed_skeletons.csv,2075,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_3/processed_exo_zed_1.mp4,2073,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_3/processed_exo_zed_2.mp4,2073,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_3/processed_ego_agent_2.mp4,2074,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_2/Trial_3/processed_ego_agent_3.mp4,2074
3,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_1/new_processed_skeletons.csv,6487,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_1/processed_exo_zed_1.mp4,6485,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_1/processed_exo_zed_2.mp4,6485,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_1/processed_ego_agent_2.mp4,6486,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_1/processed_ego_agent_3.mp4,6486
4,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_2/new_processed_skeletons.csv,4068,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_2/processed_exo_zed_1.mp4,4066,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_2/processed_exo_zed_2.mp4,4066,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_2/processed_ego_agent_2.mp4,4067,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_2/processed_ego_agent_3.mp4,4067
5,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_3/new_processed_skeletons.csv,3412,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_3/processed_exo_zed_1.mp4,3410,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_3/processed_exo_zed_2.mp4,3410,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_3/processed_ego_agent_2.mp4,3411,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_4/Trial_3/processed_ego_agent_3.mp4,3411
6,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_1/new_processed_skeletons.csv,3478,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_1/processed_exo_zed_1.mp4,3476,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_1/processed_exo_zed_2.mp4,3476,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_1/processed_ego_agent_2.mp4,3477,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_1/processed_ego_agent_3.mp4,3477
7,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_2/new_processed_skeletons.csv,3619,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_2/processed_exo_zed_1.mp4,3617,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_2/processed_exo_zed_2.mp4,3617,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_2/processed_ego_agent_2.mp4,3618,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_2/processed_ego_agent_3.mp4,3618
8,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_3/new_processed_skeletons.csv,2941,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_3/processed_exo_zed_1.mp4,2939,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_3/processed_exo_zed_2.mp4,2939,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_3/processed_ego_agent_2.mp4,2940,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_6/Trial_3/processed_ego_agent_3.mp4,2940
9,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_8/Trial_1/new_processed_skeletons.csv,2569,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_8/Trial_1/processed_exo_zed_1.mp4,2567,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_8/Trial_1/processed_exo_zed_2.mp4,2567,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_8/Trial_1/processed_ego_agent_2.mp4,2568,/scratch/msy9an/data/tro_data/HHC/Variation_1/Group_8/Trial_1/processed_ego_agent_3.mp4,2568
