,skeleton_file,skeleton_frames,exo_file_1,exo_frames_1,exo_file_2,exo_frames_2,ego_file_2,ego_frames_2,ego_file_3,ego_frames_3
64,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_1/new_processed_skeletons.csv,4017,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_1/processed_exo_zed_1.mp4,4015,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_1/processed_exo_zed_2.mp4,4015,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_1/processed_ego_agent_2.mp4,4016,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_1/processed_ego_agent_3.mp4,4016
65,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_2/new_processed_skeletons.csv,4439,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_2/processed_exo_zed_1.mp4,4437,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_2/processed_exo_zed_2.mp4,4437,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_2/processed_ego_agent_2.mp4,4438,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_2/processed_ego_agent_3.mp4,4438
66,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_3/new_processed_skeletons.csv,4031,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_3/processed_exo_zed_1.mp4,4029,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_3/processed_exo_zed_2.mp4,4029,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_3/processed_ego_agent_2.mp4,4030,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_2/Trial_3/processed_ego_agent_3.mp4,4030
67,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_1/new_processed_skeletons.csv,3779,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_1/processed_exo_zed_1.mp4,3777,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_1/processed_exo_zed_2.mp4,3777,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_1/processed_ego_agent_2.mp4,3778,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_1/processed_ego_agent_3.mp4,3778
68,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_2/new_processed_skeletons.csv,3258,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_2/processed_exo_zed_1.mp4,3256,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_2/processed_exo_zed_2.mp4,3256,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_2/processed_ego_agent_2.mp4,3257,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_2/processed_ego_agent_3.mp4,3257
69,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_3/new_processed_skeletons.csv,2658,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_3/processed_exo_zed_1.mp4,2656,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_3/processed_exo_zed_2.mp4,2656,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_3/processed_ego_agent_2.mp4,2657,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_4/Trial_3/processed_ego_agent_3.mp4,2657
71,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_1/new_processed_skeletons.csv,2880,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_1/processed_exo_zed_1.mp4,2878,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_1/processed_exo_zed_2.mp4,2878,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_1/processed_ego_agent_2.mp4,2879,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_1/processed_ego_agent_3.mp4,2879
72,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_2/new_processed_skeletons.csv,2676,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_2/processed_exo_zed_1.mp4,2674,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_2/processed_exo_zed_2.mp4,2674,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_2/processed_ego_agent_2.mp4,2675,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_2/processed_ego_agent_3.mp4,2675
73,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_3/new_processed_skeletons.csv,3231,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_3/processed_exo_zed_1.mp4,3229,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_6/Trial_3/processed_exo_zed_2.mp4,3229,,0,,0
74,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_1/new_processed_skeletons.csv,4235,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_1/processed_exo_zed_1.mp4,4233,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_1/processed_exo_zed_2.mp4,4233,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_1/processed_ego_agent_2.mp4,4234,/scratch/msy9an/data/tro_data/HRC/Variation_1/Group_8/Trial_1/processed_ego_agent_3.mp4,4234
